MAC Address,Online Time (s),Offline Time (s)
00:00:00:00:01:1F,66,0
00:00:00:00:01:03,66,0
00:00:00:00:01:09,66,0
00:00:00:00:01:0A,66,0
00:00:00:00:01:0B,66,0
00:00:00:00:01:1D,66,0
00:00:00:00:01:20,66,0
00:00:00:00:01:1E,66,0
00:00:00:00:01:1B,66,0
00:00:00:00:01:06,66,0
00:00:00:00:01:08,66,0
00:00:00:00:01:13,66,0
00:00:00:00:01:05,66,0
00:00:00:00:01:19,66,0
00:00:00:00:01:0E,66,0
00:00:00:00:01:1C,66,0
00:00:00:00:01:1A,66,0
00:00:00:00:01:17,66,0
00:00:00:00:01:21,66,0
00:00:00:00:01:16,66,0
00:00:00:00:01:18,66,0
00:00:00:00:01:22,66,0
00:00:00:00:01:0F,66,0
00:00:00:00:01:07,66,0
00:00:00:00:01:15,66,0
00:00:00:00:01:11,66,0
00:00:00:00:01:10,66,0
00:00:00:00:01:0D,66,0
00:00:00:00:01:04,66,0
00:00:00:00:01:12,66,0
00:00:00:00:01:0C,66,0
00:00:00:00:01:14,66,0
