MAC Address,Status,Online Time (s),Offline Time (s),Last Seen,Expected
00:00:00:00:01:15,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:0B,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:08,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:21,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:1D,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:03,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:17,ONLINE,113,0,2025-06-09 17:31:27,Yes
00:00:00:00:01:06,ONLINE,112,0,2025-06-09 17:31:28,Yes
dc:da:0c:87:89:25,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:11,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:1F,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:0F,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:1B,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:04,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:16,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:02,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:0C,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:0E,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:07,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:18,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:19,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:14,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:22,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:13,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:12,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:0A,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:0D,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:05,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:20,ONLINE,112,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:10,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:1C,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:1E,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:09,ONLINE,113,0,2025-06-09 17:31:28,Yes
00:00:00:00:01:1A,ONLINE,112,0,2025-06-09 17:31:28,Yes
